위험요인,기인물,중대재해 개요,발생원인,예방대책
피킹작업자와 지게차 부딪힘,지게차,24년 4월 인천광역시 서구 소재 물류센터 피킹장에서 재해자가 지시 박스를 들고 이동하던 중 지게차와 충돌하여 사망,"1. 통로 구획 상태 미흡: 보행자 통로 구획 페인트 작업을 한 지 오래되어 보행자 통로를 구분할 수 없는 상태로, 피킹 작업자가 보행자 통로를 이용할 수 없는 상태 방치 
2. 수동대차 미사용: 피킹 작업자가 지시 박스를 수동 대차를 이용하지 않고, 직접 들고 이동하여 지게차와 혼재되어 작업을 하는 장소에서 시야가 미확보된 상태로 이동
3. 작업지휘자 미배치: 피킹장은 지게차와 작업자가 혼재되어 작업하는 장소로, 지게차 충돌 위험이 높음에도 불구하고, 작업지휘자 미배치  ","1. 보행자 통로 구획 페인트 작업 실시 및 관리: 사업장 내 작업자가 보행통로를 항상 안전하게 사용할 수 있도록 통로 구획 페인트 작업을 실시
2. 보행자 시야확보에 대한 관리감독: 피킹작업자가 지시박스를 지정 장소로 운반할 경우 수동 대차를 사용하도록 하는 등 작업자의 시야가 확보된 상태에서 작업하도록 관리
3. 작업지휘자 배치: 사업장 내 보행자통로와 지게차 경로가 교차되는 장소 등 지게차 충돌 위험이 높은 장소에는 작업지휘자 등을 배치  "
지게차 덧발 지그와 철골기둥 사이에 자업자 끼임 ,지게차,"24년 8월 경북영천시 소재 공장의 원료 입고장에서 지게차와 사용하여 톤백에 담긴 원료를 투입 설비로 운반하기 위해 톤백을 지게차용 덧발 지그에 거는 작업을 하던 중, 전진하던 지게차에 부착된 지그와 철골기둥 사이에 끼여 사망","1. 작업계획서 미작성: 지게차 등을 사용하여 중량의 톤백을 취급하는 위험작업을 수행함에도 불구하고, 작업을 지휘하고 지게차나 톤백 등과의 충돌.협착 등을 예방하기 위한 표준화된 작업계획서 미작성 상태에서 작업을 수행 
2. 작업지휘자 미배치: 지게차 등을 사용하여 중량의 톤백을 취급하는 위험작업을 수행함에도 불구하고, 작업을 지휘하고 지게차나 톤백 등과의 충돌.협착 등의 방지를 위한 안전조치 등을 수행할 작업지휘자가 배치되지 않은 상태에서 작업을 수행 
3. 부적정한 작업방법: 톤백걸이 작업을 단독으로 수행하던 작업자가 전진하는 지게차와 충돌할 수 있는 가까운 위치에서 철골기둥(H빔)을 후면에 두고, 전진하는 지게차를 마주보며, 해당 작업을 수행
4. 무면허 작업자에 의한 지게차 우전: 지게차 운전에 필요한 면허를 가진 작업자에게 지게차 운전을 하게 하여야 하나, 사고 당시 무면허 작업자인 동료 외국인 작업자가 지게차를 운전함 
 ","1. 작업계획서 작성: 지게차 등을 사용하여 중량의 원료 톤백 등을 취급하는 위험작업을 수행하는 경우, 지게차나원료 톤백 등과의 충돌·협착 등을 예방하기 위한 안전한 작업방법 등이 명시된 작업계획서를 작성하고 준수하도록 조치
2. 작업지휘자 배치: 지게차 등을 사용하여 중량의 원료 톤백 등을 취급하는 위험작업을 수행하는 경우, 작업을 지휘하고 지게차 등과 충돌방지를 위한 안전조치 등을 수행할 작업지휘자를 지정·배치하고, 작업계획서 등에 따라 안전하게 작업을 수행하도록 조치
3. 톤백걸이 작업 등 관련 안전 작업방법 표준화 및 관리: 작업인원, 지게차 운전자 자격조건, 톤백걸이 작업 방법 및 작업자 위치 등을 명시한 안전한 작업방법을 표준화하여 작업계획서 등에 명시하고 이를 준수하도록 작업방법의 인식·전달체계를 마련
4. 지게차 등과 관련한 작업자 자격관리 철저: 지게차 운전에 필요한 자격·면허를 가진 작업자가 지게차 운전을 하도록 관리하고 특별안전교육 등을 통해 작업자들이 작업방법을 숙지하고 안전하게 작업하도록 관리 철저"
인화성가스 캔 압축설비 가동 중 화재.폭발 발생,인화성 가스 캔,24년 8월 인천광역시 공장에서 재해자가 캔 압축기 설비를 이용하여 부탄가스 캔 등 철캔 압축 등 발생한 부탄이 체류한 상태에서 제어반 전기스파크가 점화원으로 작용하여 화재.폭발 발생,"1. 환기 불충분: 환기팬을 가동하지 않아 환기가 불충분한 상태에서 설비를 가동하여 발생한 인화성 가스에의한 폭발 분위기 형성
2. 가스 검지 및 경보 장치 미설치: 사고 설비 주변에 가스 검지 및 경보 장치 미설치로 인하여 인화성 가스발생유무를 사전에 감지하지 못함","1. 인화성 가스 취급 설비 가동 시 충분한 환기 실시: 인화성 가스 취급 설비 가동 시 발생하는 인화성 가스가 주변에 체류하여 폭발한계에 도달하지않도록 환기장치를 상시 가동하여 충분한 환기 실시
2. 가스 검지 및 경보 장치 설치: 인화성 가스 취급 설비 주변에 가스 검지 및 경보 장치를 설치하여 인화성 가스 발생 유무를사전에 감지하여 화재·폭발 대비"
드럼통을 절단하던 중 폭발,드럼통 내부에 잔류되어 있던 인화성 액체 ,"2024. 09. 00.(토) 11:40분경 공장 내에서 재해자가 드럼통의 금속 판을 산소 절단기(LPG)로 절단하던 도중,
드럼통 내부에 잔류되어 있던 인화성 액체(MPK*)의 증기가 폭발하여 압력에 의해 드럼통 금속 판이 튕겨나가 재해자가 맞음","드럼통 내부에 잔류된 인화성 물질을 제거하지 않고 화기작업 실시: 드럼통 내부에 인화성 액체인 MPK가 잔류되어 있었으나 잔류물이 남아있지 않도록 제거 또는 환기 등의 조치를 실시하지 않고
(점화원) 점화 시 불꽃의 온도 약 2,800℃인 산소 절단기를 점화시켜 불꽃을 드럼통에접촉한 순간 폭발 발생","1. 드럼통 내부 인화성 액체 제거 등의 화재 · 폭발 예방 조치 실시: 인화성 액체가 잔류하여 인화성 증기가 발생할 우려가 있는 드럼통을 절단하기 전,드럼통 내부에 잔류하고 있는 인화성 증기를 환기 · 제거 또는 물을 주입하여 세척작업 하는 등 적절한 안전조치 실시
2. 용단 작업 등의 화재 폭발위험작업 시 관리감독자 점검 철저: 드럼통 용단 작업 전 드럼통 내 인화성 액체의 잔류물이 남아있지 않도록 제거 또는 환기 조치를 하도록 관리감독자 점검 철저"
지게차에 운전자 끼임,지게차,"2024년 5월 부산시 소재 작업장 내에서 지게차 운전자가 지게차로 올려진 팔레트 위에서 열풍기 수리 작업 후 지게차 조정석에 발을 딛고 지상으로
내려오던 중 지게차의 틸팅 레버가 눌리면서 마스트가 운전석 방향으로 기울어 마스트와 헤드가드 사이에 끼여 사망","1. 지게차의 주용도 외 사용: 화물의 적재, 하역 등에 사용되는 지게차와 팔레트를 안전조치(탑승 하차 통로, 추락방지 조치 등) 없이 고소작업 발판 용도로 사용
2. 지게차 운전위치 이탈 시 조치 미흡: 운전자가 지게차의 시동이 켜진 상태로 운전석을 이탈하여 지게차 조작레버의 오조작이 발생","1. 지게차의 주용도 외 사용 금지: 사업주는 지게차를 적재, 하역 등 주된 용도에만 사용하도록 관리감독 철저
2. 지게차 운전위치 이탈 시 조치 철저: - 지게차 운전자가 운전위치 이탈 시 포크는 가장 낮은 위치에 두고 브레이크를 거는 등 기계의 갑작스러운 작동을 방지하기 위한 조치 실시"
선재코일에 깔림,선재코일 ,"2024년 7월 경남 김해시 소재 작업장 내에서 재해자가 선재 코일* 에 부착된 태그를 확인하기 위해 선재 코일 안으로 몸을 집어 넣어 태그를
확인한 후 빠져 나오던 중 끝단에 걸쳐있는 선재 코일을 밟아 재해자 방향으로 전도되어 깔려 사망","1. 선재 코일 넘어짐 방지 조치 미실시: 구조물 끝단에 돌출된 선재 코일을 근로자가 밟는 등 다른 요인에 의해 넘어질 위험
이 있는 선재 코일에 넘어짐 방지 조치 미실시
2. 중량물 취급 작업계획서 미작성: 중량물 취급 시 전도, 협착 위험을 예방하기 위해 작업계획서를 작성하여야 하나 미작성","1. 선재 코일 넘어짐 방지 조치 실시: - 선재 코일 취급 및 적재 시 넘어지지 않도록 구조적으로 안전한 적재대*를 구비하거나, 앞으로 넘어지지 않도록 「넘어짐 방지」 조치 실시
2. 중량물 취급 작업계획서 작성 및 작업지휘자 배치하여 관리: 중량물 취급 작업시 해당 작업에 따른 전도, 협착 위험에 대한 예방대책과 작업방법 등을 포함한 작업계획서 작성"
천장크레인으로 권상된 중량물에 깔림,천장 크레인 ,"2024년 7월 경남 창녕군 소재 작업장에서 재해자가 천장크레인(5ton)을 사용하여 2차전지 생산설비에서 사용할 워크웨이(보행자 통로)를 권상한 후 아래에서 도장보강작업을 실시하던 중, 달기구가 이탈되면서 워크웨이에 깔려 사망","1. 부적절한 달기구 및 줄걸이방법 사용: 이탈될 위험이 있는 부적절한 달기구를 선정하여 줄걸이를 체결, 편중이 발생할 가능성이 있는 줄걸이방법을 사용
2. 크레인으로 권상된 중량물 아래에서 작업 실시: 크레인을 사용한 중량물 취급 작업 시 중량물이 떨어질 위험이 있음에도 불구하고 권상된상태의 중량물 아래에 출입하여 도장보강작업을 실시","1. 적절한 받침대 사용 및 적절한 달기구 및 줄걸이방법 선정·사용: 중량물 아래에 출입하여 작업을 실시해야 할 경우, 중량물의 하중을 충분히 결딜 수있는받침대 위에 올려놓은 상태에서 작업을 실시하고, 중량물 권상 작업 시 편중이 발생하지 않는 줄걸이 방법을 사용하고, 이탈될 위험이없는적절한 달기구를 선정하여 줄걸이를 체결
2. 크레인 작업 시 중량물 아래 출입금지 및 충분한 안전거리 확보: 권상된 상태의 중량물 아래에 출입하여 작업하는 것을 금지하고, 중량물과 작업자 간 충분한 안전거리를 확보하여 작업 실시"
이동식 사다리 위에서 작업 중 떨어짐,이동식 사다리,2024년 6월 인천시 소재의 제조업 사업장에서 재해자가 이동식 사다리 작업발판 위에서 배기 덕트 및 팬 설치 작업 중 중심을 잃고 약 3m 아래 바닥으로 떨어짐,"1. 작업발판 미설치: 재해자가 떨어질 위험이 있는 장소에서 작업이 예정되어 있었으나, 적절한 작업발판이 설치되어 있지 않은 상태
2. 안전모 미착용: 재해자가 떨어질 위험이 있는 장소에서 작업을 하였으나 안전모를 착용하지 않은 상태","1. 작업발판 설치: 근로자가 떨어질 위험이 있는 장소에서 작업하는 경우 비계를 조립하는 등의 방법으로 적절한 작업발판을 설치하여 안전하게 작업할 수 있도록 조치
2. 개인보호구 착용: 근로자가 떨어질 위험이 있는 장소에서 작업하는 경우 안전모를 지급하고 착용토록 하여 안전하게 작업할 수 있도록 조치"
떨어지는 화물에 깔림,"지게차, 화물",24년 7월 광주 소재 공장 내 지게차가 급정지 및 급선회하는 과정에서 재해자 방향으로 넘어지는 화물에 재해자가 깔리면서 바닥에 머리를 부딪힘,"1. 지게차 급선회: 이동 중인 근로자를 뒤늦게 발견하여 급정지 및 급선회하여 발생한 원심력으로 운반중인 화물이 포크에서 이탈하여 떨어짐
2. 이동경로 중첩: 보행자 전용 통로가 마련되어 있지 않아 지게차와 근로자의 경로가 중복 및 지게차 운반중인 화물과 인상된 포크의 높이 등으로 운전석 시야 일부 사각지대 형성","1. 지게차 접촉방지 조치 실시: 지게차 운행경로와 근로자의 이동 경로가 중복되는 경우 보행자 전용 통로 설치, 교차로 구간 지게차 감지 또는 접근 경보 장치 등 보행 중 지게차 인지할 수 있는 설비 설치(권고)
2. 지게차 화물 전도 방지 조치: 지게차 포크로 화물 운반 시 화물용 고정벨트 체결 또는 포크타입 변경하여 전도방지 조치 실시, 지게차 운행속도 정기 점검 및 스토퍼 설치 등 속도 저감하여 급선회 및 급정지 방지"
화물자동차와 집게차 사이에 협착,화물자동차,"24년 6월 경남 창원시 소재 000 사업장 내에서 재해자가 물품을 하차하기 위해 화물자동차 뒤에서 대기하던 중, 집게차 가 후진하면서 화물자동차와 부딪혀 사이에 있던 재해자가 협착되어 사망","차량이 통행하는 장소에 작업지휘자 또는 유도자 미배치: 차랑계 하역운반기계 등을 사용하여 작업하는 경우 작업자가 부딪힐 위험이 있는 장소에 작업지휘자 또는 유도자를 배치하여야 하나, 이를 미준수",작업지휘자 또는 유도자를 배치하여 차량 통제 및 유도:  사고발생 장소는 다수의 차량이 통행하는 장소로 보행자 또는 작업자와 부딪힐 위험이 있으므로 작업지휘자 또는 유도자를 배치하여 차량 통제 및 유도
수변전실 정비 중 감전,변압기,24년 1월 전북 완주군 소재 공장 옥외 수변전실 내에서 변압기 설비 고장으로 누유된 절연유를 특고압 판넬 개방상태에서 정리하던 중 퓨즈 충전부에 접촉하여 감전,"1. 전로차단 미실시: 변압기 외부로 누유된 절연유 정리 중 전로 미차단으로 충전부에 접촉하여 감전
2. 보호구 미착용: 감전 위험이 있는 충전부 작업 중 절연용 보호구 미착용으로 감전 경로 형성","1. 충전부 작업 시 전로 차단: 충전부 노출 부위 또는 해당 부위 주변에서 작업 시 완료 전까지 전로 차단 확인 철저
2. 절연용 보호구 지급 및 관리감독 철저: 변압기 등 감전이 있는 충전부 작업 시 절연용 보호구(절연 장갑, 절연복 등) 지급하여 착용할 수 있도록 관리감독 철저"
화물자동차 적재함에서 떨어짐,화물자동차 ,"24년 5월 경북 김천시 소재, OO중공업(주) 제품 상차장에서 재해자가 화물자동차 적재함에 상차된 철골 자재를 적재함 위에 올라가 슬링 벨트로 고정하는 작업을 하던 중 불안전하게 세워져 상차되어 있던 철골 자재와 함께 지면으로 떨어져(H≒2.5m) 사망","1. 차량계 하역운반기계 작업계획서 작성 미흡: 불안전하게 세워 적재되어 있어 외력에 의해 전도되기 쉬운 철골 자재의 전도방지 대책과 적재함 위에서 떨어짐에 대한 방지 대책을 수립하고 작업계획서에 반영하지 않음
2. 전용 승강설비 미사용 등 떨어짐 방지조치 미흡: 승강과정, 적재함 위에서 이동 및 작업 중 떨어짐 예방을 위한 전용 승강
설비와 작업발판을 사용하지 않고 작업자는 개인보호구를 착용하지 않음","1. 차량계 하역운반기계 작업계획서 작성 철저: 불안전하게 적재되어 있어 외력에 의해 전도되기 쉬운 철골 자재의 전도방지 대책과 적재함 위에서 떨어짐에 대한 대책을 작업계획서에 반영
2. 전용 승강설비 사용 등 떨어짐 방지조치 철저: 승강과정, 적재함 위에서 이동 및 작업 중 떨어짐 예방을 위한 전용 승강설비와 작업발판을 사용
하고 안전모 등 적정 보호구를 착용"
청소 작업 중 특고압 감전,특고압,"18년 7월 수원시 소재 OOOO 에서 옥상 방수 도막 제거 후 청소 작업을 하던 중, COS(컷아웃스위치)의 노출된 충 전부(22.9kV)에 머리가 접촉, 감전 사고가 발생하여 1명이 사망","1. 전원차단 조치: 노출된 충전부 부근 작업이나 해당 전원 미차단
2. 접근금지 조치: 전원이 차단 되지 않은 상태에서 충전부 부근에 접근 통제를 위한 방책을 설치하거나 위험을 경고 할 수 있는 감시인 미배치
3. 절연조치: 작업자가 전원이 차단되지 않은 특고압 근처 작업하였으나 노출부를 방호, 차폐하거나 절연등의 조치 미실시","1. 전원 차단: 노출된 충전부 부근 작업이나 전로 관련 작업을 실시 할 때 작업에 들어가기 전 해당 전로를 차단하고 필요 시 잔류 전하를 방전
2. 접근 방지를 위한 조치: 절연이 되지 않은 충전부나 그 인근에 작업자가 접근하는 것을 제한하거나 막을 수 있도록 울타리 등을 설치하고 부득이한 경우 감시인을 배치
3. 절연, 접촉 금지 조치: 충전전로를 방호, 차폐 혹은 절연하여 작업자의 신체와 접촉하지 않아야 함"
중량물 적재 작업 중 지하 개구부로 추락,개구부,"24년 3월 충북 단양군 소재 OOO 현장 지하에 있는 발전기를 인양하여 적재하는 과정에서, 개구부에 인접하여 주 차한 화물자동차 적재함을 잡고 이동하 던 재해자가 덮개가 열리며 손을 놓쳐 지하로 추락(H≒9.5 m)하여 사망","1. 개구부안전조치 미시행: 지하에 있는 발전기를 반출하기 위해 발전기실 덮개를 해체하여 높이 약 10미터의 개구부가 발생하였으나,발전기를 반출한 후에도 덮개를 다시 덮지 않아 추락 위험이 있는 상황에서 적재 작업을 수행하는 과정에서 사고가 발생
2. 근로자 접근금지 미시행: 개구부 주변 근로자 접근금지 조치 등이 부재
3. 안전난간 미설치: 작업자가 떨어질 위험이 있음에도 불구하고 안전난간이 설치되어 있지 않음","1. 추락재해 예방설비 설치: 추락 예방을 위한 안전난간을 설치하고, 필요시 안전대를 걸어 사용할 수 있어야 함
2. 작업계획서 작성 및 작업지휘: 중량물 취급 및 차량계 하역운반기계 사용 등으로 인한 작업 수행 시 사전에 작업계획서를 작성하고, 현장에 작업지휘자를 두어야 함"
